"Date","Price","Open","High","Low","Vol.","Change %"
"04/16/2024","25.1850","25.2980","25.3425","25.1550","","-0.41%"
"04/15/2024","25.2880","25.3170","25.3795","25.2790","","-0.13%"
"04/12/2024","25.3210","25.3710","25.4065","25.3105","","-0.05%"
"04/11/2024","25.3340","25.4380","25.4665","25.3415","","-0.28%"
"04/10/2024","25.4040","25.4180","25.4640","25.3305","","0.03%"
"04/09/2024","25.3970","25.3310","25.4465","25.3095","","0.30%"
"04/08/2024","25.3210","25.3300","25.3725","25.2540","","0.16%"
"04/05/2024","25.2810","25.3225","25.3540","25.2370","","0.02%"
"04/04/2024","25.2760","25.3190","25.3550","25.2755","","-0.04%"
"04/03/2024","25.2850","25.2990","25.3840","25.2725","","0.04%"
"04/02/2024","25.2740","25.2815","25.3690","25.2505","","0.10%"
"04/01/2024","25.2490","25.2280","25.3185","25.2260","","0.08%"
"03/29/2024","25.2290","25.3025","25.3285","25.2100","","-0.24%"
"03/28/2024","25.2900","25.3205","25.3715","25.2660","","0.00%"
"03/27/2024","25.2900","25.2980","25.3540","25.2685","","0.00%"
"03/26/2024","25.2890","25.2920","25.3315","25.2320","","0.14%"
"03/25/2024","25.2530","25.3445","25.3840","25.2530","","-0.23%"
"03/22/2024","25.3120","25.3100","25.4120","25.2715","","0.03%"
"03/21/2024","25.3050","25.2010","25.3445","25.1585","","0.53%"
"03/20/2024","25.1720","25.2670","25.3470","25.1695","","-0.23%"
"03/19/2024","25.2310","25.2325","25.3160","25.1880","","0.12%"
"03/18/2024","25.2020","25.1510","25.2560","25.1170","","0.32%"
"03/15/2024","25.1220","25.2015","25.2275","25.1100","","-0.16%"
"03/14/2024","25.1620","25.2350","25.2850","25.1395","","-0.29%"
"03/13/2024","25.2340","25.2890","25.3265","25.2335","","-0.09%"
"03/12/2024","25.2570","25.3285","25.3575","25.1960","","-0.17%"
"03/11/2024","25.2990","25.3275","25.3590","25.2425","","0.02%"
"03/08/2024","25.2950","25.3540","25.3970","25.2835","","-0.08%"
"03/07/2024","25.3160","25.3570","25.4005","25.3320","","-0.14%"
"03/06/2024","25.3520","25.3390","25.3970","25.3065","","0.21%"
"03/05/2024","25.2990","25.3730","25.4140","25.3165","","-0.19%"
"03/04/2024","25.3480","25.3585","25.4005","25.3140","","0.15%"
"03/01/2024","25.3100","25.3330","25.3780","25.3000","","0.02%"
"02/29/2024","25.3040","25.2945","25.3875","25.2690","","0.17%"
"02/28/2024","25.2600","25.3165","25.4030","25.2715","","-0.20%"
"02/27/2024","25.3110","25.3710","25.4100","25.2760","","-0.13%"
"02/26/2024","25.3440","25.3210","25.4110","25.2925","","0.09%"
"02/23/2024","25.3210","25.3510","25.4135","25.3165","","-0.09%"
"02/22/2024","25.3430","25.3180","25.3940","25.1940","","0.21%"
"02/21/2024","25.2910","25.3885","25.4150","25.2940","","-0.27%"
"02/20/2024","25.3590","25.4815","25.5050","25.3440","","-0.33%"
"02/19/2024","25.4430","25.4335","25.5085","25.4180","","0.12%"
"02/16/2024","25.4130","25.3300","25.5155","25.3115","","0.39%"
"02/15/2024","25.3140","25.3960","25.5210","25.3055","","-0.20%"
"02/14/2024","25.3660","25.3595","25.4395","25.2965","","0.20%"
"02/13/2024","25.3150","25.2550","25.4040","25.1905","","0.35%"
"02/12/2024","25.2270","25.2250","25.2945","25.1800","","0.12%"
"02/09/2024","25.1960","25.2390","25.2825","25.1365","","-0.12%"
"02/08/2024","25.2270","24.9595","25.2730","24.9195","","1.18%"
"02/07/2024","24.9330","24.9270","24.9995","24.8975","","0.14%"
"02/06/2024","24.8990","24.9655","25.0075","24.8935","","-0.14%"
"02/05/2024","24.9350","24.9320","25.0400","24.8960","","0.15%"
"02/02/2024","24.8980","24.8505","24.9870","24.8315","","0.30%"
"02/01/2024","24.8230","24.8115","24.9260","24.7685","","0.13%"
"01/31/2024","24.7920","24.7640","24.9130","24.7280","","0.24%"
"01/30/2024","24.7320","24.8300","24.9010","24.7255","","-0.37%"
"01/29/2024","24.8250","24.7365","24.8685","24.7140","","0.43%"
"01/26/2024","24.7190","24.7180","24.8020","24.7070","","0.00%"
"01/25/2024","24.7190","24.8435","24.8600","24.7075","","-0.35%"
"01/24/2024","24.8070","24.8780","24.9320","24.7680","","-0.11%"
"01/23/2024","24.8340","24.7750","24.8990","24.7460","","0.34%"
"01/22/2024","24.7510","24.7845","24.8185","24.7315","","-0.02%"
"01/19/2024","24.7550","24.7980","24.8320","24.7480","","-0.02%"
"01/18/2024","24.7590","24.7380","24.8320","24.7010","","0.19%"
"01/17/2024","24.7120","24.7420","24.7980","24.7005","","-0.02%"
"01/16/2024","24.7160","24.6860","24.7635","24.6695","","0.16%"
"01/15/2024","24.6760","24.6305","24.7340","24.6060","","0.34%"
"01/12/2024","24.5930","24.6925","24.7360","24.6100","","-0.19%"
"01/11/2024","24.6390","24.5780","24.7240","24.5410","","0.29%"
"01/10/2024","24.5680","24.5890","24.6335","24.5225","","0.05%"
"01/09/2024","24.5560","24.5185","24.6165","24.4900","","0.27%"
"01/08/2024","24.4890","24.5955","24.6555","24.4560","","-0.54%"
"01/05/2024","24.6230","24.6680","24.7095","24.5235","","-0.15%"
"01/04/2024","24.6610","24.6530","24.7240","24.6065","","0.15%"
"01/03/2024","24.6240","24.6830","24.7135","24.6205","","-0.09%"
"01/02/2024","24.6470","24.7195","24.7325","24.6145","","-0.16%"
"01/01/2024","24.6860","24.7015","24.7340","24.6785","","0.07%"
"12/29/2023","24.6680","24.7015","24.7470","24.6505","","-0.01%"
"12/28/2023","24.6700","24.6945","24.7465","24.6425","","0.08%"
"12/27/2023","24.6500","24.5240","24.7430","24.4910","","0.64%"
"12/26/2023","24.4940","24.5420","24.5935","24.4860","","-0.15%"
"12/25/2023","24.5300","24.5865","24.6045","24.5235","","-0.07%"
"12/22/2023","24.5460","24.5765","24.6230","24.4965","","0.04%"
"12/21/2023","24.5370","24.4935","24.6200","24.4465","","0.36%"
"12/20/2023","24.4480","24.5235","24.5730","24.4600","","-0.28%"
"12/19/2023","24.5170","24.5090","24.5870","24.4750","","0.07%"
"12/18/2023","24.4990","24.5000","24.5800","24.4555","","0.23%"
"12/15/2023","24.4430","24.4280","24.5600","24.3355","","0.17%"
"12/14/2023","24.4010","24.4385","24.4935","24.3295","","0.00%"
"12/13/2023","24.4000","24.5030","24.5600","24.3925","","-0.31%"
"12/12/2023","24.4750","24.4185","24.5510","24.3675","","0.34%"
"12/11/2023","24.3920","24.3680","24.4600","24.3150","","0.13%"
"12/08/2023","24.3610","24.3435","24.4350","24.2930","","0.25%"
"12/07/2023","24.3000","24.3195","24.3775","24.2520","","0.19%"
"12/06/2023","24.2550","24.3320","24.3895","24.2520","","-0.28%"
"12/05/2023","24.3240","24.4160","24.4550","24.2695","","-0.25%"
"12/04/2023","24.3840","24.2815","24.4500","24.2555","","0.57%"
"12/01/2023","24.2450","24.3020","24.3860","24.2420","","-0.19%"
"11/30/2023","24.2900","24.2700","24.3550","24.2330","","0.21%"
"11/29/2023","24.2390","24.2345","24.3135","24.2030","","0.19%"
"11/28/2023","24.1930","24.2990","24.3815","24.1955","","-0.30%"
"11/27/2023","24.2660","24.3860","24.4455","24.2510","","-0.49%"
"11/24/2023","24.3850","24.4210","24.4550","24.3340","","-0.04%"
"11/23/2023","24.3940","24.4530","24.4785","24.3355","","-0.14%"
"11/22/2023","24.4290","24.5240","24.5545","24.4190","","-0.28%"
"11/21/2023","24.4970","24.5155","24.5500","24.4640","","0.07%"
"11/20/2023","24.4800","24.4815","24.5660","24.4560","","0.18%"
"11/17/2023","24.4360","24.4620","24.5295","24.4185","","0.00%"
"11/16/2023","24.4360","24.4510","24.4950","24.4050","","0.00%"
"11/15/2023","24.4370","24.4615","24.5540","24.4190","","-0.01%"
"11/14/2023","24.4390","24.5905","24.6140","24.4345","","-0.44%"
"11/13/2023","24.5480","24.5220","24.6285","24.5195","","0.20%"
"11/10/2023","24.4990","24.5410","24.5945","24.4395","","-0.07%"
"11/09/2023","24.5150","24.6200","24.6680","24.4560","","-0.36%"
"11/08/2023","24.6030","24.6180","24.6870","24.5780","","0.00%"
"11/07/2023","24.6020","24.5465","24.6585","24.5215","","0.35%"
"11/06/2023","24.5160","24.3810","24.5750","24.3615","","0.59%"
"11/03/2023","24.3710","24.4540","24.5110","24.3555","","-0.29%"
"11/02/2023","24.4420","24.6625","24.6960","24.4345","","-0.79%"
"11/01/2023","24.6370","24.5645","24.7380","24.5490","","0.36%"
"10/31/2023","24.5480","24.5535","24.6220","24.5090","","0.07%"
"10/30/2023","24.5300","24.6295","24.6760","24.5185","","-0.33%"
"10/27/2023","24.6110","24.6480","24.6940","24.6120","","-0.04%"
"10/26/2023","24.6220","24.7080","24.7550","24.6110","","-0.13%"
"10/25/2023","24.6530","24.6070","24.7290","24.5845","","0.28%"
"10/24/2023","24.5840","24.6120","24.6755","24.5540","","-0.09%"
"10/23/2023","24.6050","24.6075","24.6740","24.5800","","0.14%"
"10/20/2023","24.5700","24.6270","24.7145","24.5800","","-0.13%"
"10/19/2023","24.6030","24.6855","24.7440","24.5930","","-0.22%"
"10/18/2023","24.6580","24.6625","24.7330","24.5725","","0.09%"
"10/17/2023","24.6370","24.6605","24.6975","24.5685","","0.02%"
"10/16/2023","24.6330","24.6960","24.7460","24.6270","","-0.13%"
"10/13/2023","24.6660","24.6715","24.7385","24.6005","","0.06%"
"10/12/2023","24.6510","24.5410","24.7370","24.4955","","0.59%"
"10/11/2023","24.5070","24.5655","24.6055","24.4820","","-0.12%"
"10/10/2023","24.5370","24.4645","24.6175","24.4225","","0.45%"
"10/09/2023","24.4270","24.3850","24.5570","24.3550","","-0.02%"
"10/06/2023","24.4320","24.4315","24.5205","24.3715","","0.13%"
"10/05/2023","24.4000","24.4060","24.4670","24.3115","","0.14%"
"10/04/2023","24.3650","24.5265","24.5865","24.3510","","-0.52%"
"10/03/2023","24.4920","24.3990","24.5405","24.3945","","0.38%"
"10/02/2023","24.3990","24.4110","24.4960","24.3585","","0.04%"
"09/29/2023","24.3890","24.3460","24.4455","24.2975","","0.39%"
"09/28/2023","24.2950","24.3520","24.4200","24.3080","","-0.07%"
"09/27/2023","24.3120","24.4250","24.4990","24.3030","","-0.38%"
"09/26/2023","24.4040","24.3555","24.4510","24.3080","","0.36%"
"09/25/2023","24.3160","24.4230","24.4660","24.3205","","-0.39%"
"09/22/2023","24.4110","24.4320","24.4880","24.3210","","-0.05%"
"09/21/2023","24.4220","24.3900","24.4965","24.3700","","0.27%"
"09/20/2023","24.3570","24.4565","24.4920","24.3350","","-0.22%"
"09/19/2023","24.4110","24.4145","24.4875","24.3910","","0.10%"
"09/18/2023","24.3870","24.5595","24.5885","24.3665","","-0.58%"
"09/15/2023","24.5300","24.5360","24.5870","24.4260","","0.07%"
"09/14/2023","24.5120","24.4125","24.5955","24.4000","","0.56%"
"09/13/2023","24.3750","24.5150","24.6080","24.3385","","-0.54%"
"09/12/2023","24.5070","24.5295","24.6590","24.5025","","0.04%"
"09/11/2023","24.4970","24.4325","24.5535","24.3600","","0.48%"
"09/08/2023","24.3790","24.3640","24.4785","24.3225","","0.15%"
"09/07/2023","24.3430","24.2705","24.4090","24.2510","","0.42%"
"09/06/2023","24.2420","24.1980","24.3625","24.1625","","0.26%"
"09/05/2023","24.1790","24.1095","24.2075","24.0940","","0.36%"
"09/04/2023","24.0930","24.0905","24.1545","24.0420","","0.19%"
"09/01/2023","24.0470","24.0630","24.1705","24.0255","","0.09%"
"08/31/2023","24.0250","24.0635","24.1415","24.0350","","-0.12%"
"08/30/2023","24.0540","24.0845","24.1450","24.0510","","0.02%"
"08/29/2023","24.0490","24.1460","24.1955","24.0615","","-0.25%"
"08/28/2023","24.1100","24.0755","24.1880","24.0560","","0.17%"
"08/25/2023","24.0680","24.1420","24.1765","24.0525","","-0.19%"
"08/24/2023","24.1140","24.0865","24.1815","24.0610","","0.30%"
"08/23/2023","24.0420","24.0925","24.1540","24.0160","","-0.03%"
"08/22/2023","24.0500","24.0250","24.1110","23.9875","","0.26%"
"08/21/2023","23.9870","24.0205","24.0535","23.9710","","-0.01%"
"08/18/2023","23.9890","24.0865","24.1080","23.9795","","-0.27%"
"08/17/2023","24.0530","24.0920","24.1550","24.0595","","-0.14%"
"08/16/2023","24.0870","24.1120","24.1555","24.0400","","0.07%"
"08/15/2023","24.0710","24.0595","24.1640","24.0340","","0.21%"
"08/14/2023","24.0200","24.0690","24.1050","24.0100","","0.05%"
"08/11/2023","24.0070","24.2435","24.2645","24.0230","","-0.85%"
"08/10/2023","24.2120","24.2650","24.3015","24.1755","","-0.18%"
"08/09/2023","24.2550","24.2655","24.3140","24.2165","","0.11%"
"08/08/2023","24.2290","24.2175","24.3080","24.1890","","0.06%"
"08/07/2023","24.2150","24.2400","24.2930","24.1970","","0.00%"
"08/04/2023","24.2160","24.2225","24.3090","24.1820","","0.01%"
"08/03/2023","24.2130","23.9715","24.2645","23.9170","","1.19%"
"08/02/2023","23.9280","23.9520","24.0125","23.8645","","0.04%"
"08/01/2023","23.9180","23.8655","23.9895","23.8445","","0.20%"
"07/31/2023","23.8710","24.0025","24.0190","23.8370","","-0.25%"
"07/28/2023","23.9310","24.0430","24.1450","23.9375","","-0.10%"
"07/27/2023","23.9540","24.0335","24.1055","23.9470","","-0.22%"
"07/26/2023","24.0070","24.0590","24.1055","24.0135","","-0.20%"
"07/25/2023","24.0540","24.1060","24.1615","23.9980","","-0.17%"
"07/24/2023","24.0940","24.0265","24.1880","24.0085","","0.44%"
"07/21/2023","23.9890","23.9805","24.0975","23.9395","","0.19%"
"07/20/2023","23.9430","23.9085","24.0200","23.8685","","0.36%"
"07/19/2023","23.8560","23.8475","23.9730","23.8260","","0.16%"
"07/18/2023","23.8170","23.7720","23.8785","23.7355","","0.28%"
"07/17/2023","23.7510","23.7680","23.8145","23.7420","","0.05%"
"07/14/2023","23.7390","23.7530","23.8080","23.7310","","0.00%"
"07/13/2023","23.7400","23.7860","23.8285","23.7360","","-0.14%"
"07/12/2023","23.7740","23.8425","23.8885","23.7615","","-0.24%"
"07/11/2023","23.8310","23.8115","23.9020","23.7990","","0.12%"
"07/10/2023","23.8030","23.8410","23.9065","23.8125","","-0.10%"
"07/07/2023","23.8270","23.8920","23.9890","23.8190","","-0.18%"
"07/06/2023","23.8700","23.7600","23.9235","23.7305","","0.57%"
"07/05/2023","23.7350","23.7395","23.7945","23.7165","","0.14%"
"07/04/2023","23.7020","23.7555","23.7715","23.6785","","-0.06%"
"07/03/2023","23.7160","23.7580","23.7875","23.6905","","-0.05%"
"06/30/2023","23.7280","23.7105","23.8010","23.6725","","0.10%"
"06/29/2023","23.7050","23.6680","23.7605","23.6530","","0.27%"
"06/28/2023","23.6420","23.6275","23.7245","23.5985","","0.25%"
"06/27/2023","23.5830","23.6420","23.6840","23.5665","","-0.06%"
"06/26/2023","23.5980","23.6520","23.6965","23.6075","","-0.09%"
"06/23/2023","23.6190","23.6420","23.7180","23.5990","","-0.02%"
"06/22/2023","23.6230","23.7230","23.7620","23.6290","","-0.39%"
"06/21/2023","23.7160","23.7560","23.8055","23.7145","","-0.01%"
"06/20/2023","23.7190","23.7545","23.8135","23.7075","","-0.02%"
"06/19/2023","23.7230","23.7210","23.8520","23.7120","","0.01%"
"06/16/2023","23.7200","23.7850","23.8630","23.7115","","-0.12%"
"06/15/2023","23.7480","23.7840","23.8550","23.7335","","-0.03%"
"06/14/2023","23.7550","23.7995","23.9240","23.7160","","-0.16%"
"06/13/2023","23.7920","23.7785","23.8600","23.7315","","0.17%"
"06/12/2023","23.7510","23.6985","23.8125","23.6365","","0.40%"
"06/09/2023","23.6560","23.6470","23.7270","23.6120","","0.07%"
"06/08/2023","23.6390","23.6380","23.6945","23.5935","","0.14%"
"06/07/2023","23.6070","23.5540","23.6555","23.5255","","0.33%"
"06/06/2023","23.5290","23.5415","23.5870","23.5020","","0.09%"
"06/05/2023","23.5090","23.6185","23.7070","23.5030","","-0.23%"
"06/02/2023","23.5640","23.6765","23.7275","23.5830","","-0.34%"
"06/01/2023","23.6450","23.7000","23.7570","23.6510","","-0.25%"
"05/31/2023","23.7040","23.6905","23.8185","23.6475","","0.26%"
"05/30/2023","23.6430","23.6825","23.7685","23.6545","","0.00%"
"05/29/2023","23.6440","23.6640","23.7505","23.6360","","0.03%"
"05/26/2023","23.6370","23.5960","23.7095","23.5560","","0.22%"
"05/25/2023","23.5840","23.6725","23.7430","23.5850","","-0.24%"
"05/24/2023","23.6400","23.6925","23.7365","23.6330","","-0.05%"
"05/23/2023","23.6530","23.7020","23.7355","23.6310","","-0.07%"
"05/22/2023","23.6700","23.7625","23.7945","23.6510","","-0.26%"
"05/19/2023","23.7310","23.7185","23.8040","23.6855","","0.18%"
"05/18/2023","23.6890","23.6300","23.7650","23.5925","","0.28%"
"05/17/2023","23.6230","23.6545","23.7405","23.6015","","-0.10%"
"05/16/2023","23.6470","23.6175","23.7105","23.5780","","0.33%"
"05/15/2023","23.5700","23.6130","23.6715","23.5265","","0.17%"
"05/12/2023","23.5300","23.5425","23.6490","23.5180","","-0.03%"
"05/11/2023","23.5380","23.4545","23.5745","23.4190","","0.39%"
"05/10/2023","23.4470","23.4090","23.4940","23.3645","","0.28%"
"05/09/2023","23.3810","23.4040","23.4335","23.3380","","0.02%"
"05/08/2023","23.3770","23.3870","23.4600","23.3710","","0.09%"
"05/05/2023","23.3550","23.4305","23.5050","23.3595","","-0.22%"
"05/04/2023","23.4060","23.5075","23.5475","23.4080","","-0.31%"
"05/03/2023","23.4780","23.5830","23.6335","23.4605","","-0.43%"
"05/02/2023","23.5790","23.6165","23.6460","23.5055","","-0.02%"
"05/01/2023","23.5830","23.5680","23.7150","23.4765","","0.31%"
"04/28/2023","23.5100","23.4780","23.5500","23.4520","","0.27%"
"04/27/2023","23.4470","23.5190","23.5445","23.4525","","-0.14%"
"04/26/2023","23.4800","23.5090","23.5505","23.4465","","-0.03%"
"04/25/2023","23.4880","23.4750","23.5350","23.4415","","0.24%"
"04/24/2023","23.4320","23.4990","23.5405","23.3990","","-0.20%"
"04/21/2023","23.4780","23.4625","23.5870","23.4510","","0.12%"
"04/20/2023","23.4510","23.4280","23.5850","23.3945","","0.23%"
"04/19/2023","23.3980","23.4305","23.4910","23.3730","","-0.10%"
"04/18/2023","23.4210","23.3980","23.4655","23.2975","","0.21%"
"04/17/2023","23.3720","23.3405","23.4285","23.2820","","0.29%"
"04/14/2023","23.3050","23.2325","23.3920","23.2125","","0.41%"
"04/13/2023","23.2100","23.3075","23.3780","23.2180","","-0.37%"
"04/12/2023","23.2960","23.4660","23.5250","23.3035","","-0.61%"
"04/11/2023","23.4390","23.3460","23.5275","23.3150","","0.55%"
"04/10/2023","23.3100","23.3065","23.4290","23.3010","","0.08%"
"04/07/2023","23.2920","23.3995","23.4640","23.2990","","-0.33%"
"04/06/2023","23.3690","23.4320","23.4725","23.3450","","-0.11%"
"04/05/2023","23.3940","23.4130","23.5240","23.3815","","-0.06%"
"04/04/2023","23.4070","23.4235","23.5335","23.3970","","0.09%"
"04/03/2023","23.3870","23.4775","23.5125","23.3980","","-0.26%"
"03/31/2023","23.4480","23.5240","23.5975","23.4420","","-0.12%"
"03/30/2023","23.4750","23.5695","23.6145","23.4750","","-0.25%"
"03/29/2023","23.5330","23.6280","23.6930","23.5305","","-0.18%"
"03/28/2023","23.5750","23.7725","23.8265","23.5900","","-0.70%"
"03/27/2023","23.7410","23.6780","23.8200","23.6345","","0.43%"
"03/24/2023","23.6390","23.6190","23.7915","23.5795","","0.15%"
"03/23/2023","23.6030","23.7125","23.7450","23.5780","","-0.34%"
"03/22/2023","23.6830","23.7945","23.8505","23.5890","","-0.36%"
"03/21/2023","23.7680","23.9695","24.0215","23.7610","","-0.75%"
"03/20/2023","23.9470","24.0605","24.0920","23.9435","","-0.10%"
"03/17/2023","23.9700","23.9505","24.0555","23.8375","","0.11%"
"03/16/2023","23.9430","24.0460","24.1175","23.9325","","-0.38%"
"03/15/2023","24.0350","23.7860","24.0995","23.7435","","1.19%"